1539,14058,6343,16300
6969,12898,12418,1000
10151,9176,15239,3387
13179,14079,2568,12114
9740,4610,15172,1236
6296,14804,16440,3150
14266,898,10471,8667
17337,15041,7665,3179
14262,11338,2965,277
15598,12420,9427,11001
692,13429,10633,13083
2366,4433,2942,12508
7114,3893,11525,8374
4737,396,9153,3520
10989,12293,2238,4938
11264,1001,9495,533
1246,8451,11843,10385
5460,9353,1423,4834
7768,15479,10548,7848
6166,8133,14702,3450
15829,15259,8065,6908
8747,6156,11037,10658
13213,16417,5655,6304
11624,14763,5396,12327
3947,3606,1619,16891
6159,1973,15376,4982
7205,7410,12158,1184
12917,12295,2959,13731
9106,1751,4944,8220
14895,4189,5772,10275
1669,8415,12883,2563
16399,4145,1302,7063
14248,1399,13432,11968
1988,8076,4525,3485
4226,7852,11075,3710
5844,13348,16604,10333
13570,4788,13544,16095
17090,12809,8406,574
14682,5031,15213,7029
6097,8681,11946,1272
7399,6361,14842,4705
10590,5677,4917,14468
11534,15732,2935,11698
13344,14918,5640,5957
13240,5436,2009,9290
3547,11384,9540,5452
14613,5636,16134,7372
16136,7161,1910,8589
14307,16746,11315,8566
15969,12562,4344,9911
1209,2458,13710,5886
13005,10887,3330,13119
360,12373,4924,5607
13689,2496,16613,16764
4990,16648,15663,892
10059,3095,14029,4422
16460,12541,8867,7081
14822,16912,7013,2662
3056,10948,16943,4500
15066,8044,5093,1354
1589,13798,4342,14594
7068,5879,1339,2296
12078,14678,1172,1386
7115,7607,1337,12826
7880,5353,535,8345
17579,11522,3200,8677
7043,11276,4627,10609
686,9881,10162,4013
4032,6647,4673,6267
7704,10177,6716,2286
6205,9258,17421,5243
4328,8621,11021,11763
4188,12987,819,4532
11105,1676,5294,16476
9925,4507,10640,11799
886,12600,14754,10087
3119,2418,8613,14384
5344,7452,14909,5549
14491,14636,10964,2463
16132,14912,983,2949
7443,5217,7653,11939
13658,7375,5933,4268
9424,453,8964,5950
10990,1625,6138,16461
12250,12550,2245,2281
14365,1480,6212,6767
8498,16880,16503,11663
8789,15521,38,1890
10426,3538,1930,15658
11675,17042,4210,15496
4163,9681,13084,8778
14097,17592,4820,5381
528,14562,4425,1696
3505,5264,8183,1233
2888,894,4383,10128
1393,4233,9880,907
5435,7753,11741,16472
6389,6657,15874,11609
5356,11266,17395,460
10404,2065,4206,12874
7400,3164,8822,9166
16869,4298,13072,10450
10217,3199,6146,13489
7447,467,16030,173
4361,16593,12378,10039
17582,4431,8797,3350
633,1041,8631,8805
15722,8334,613,13889
17356,16561,2923,11771
5494,307,16006,9913
9273,11220,10711,9606
6561,15047,10204,15628
5095,6463,13897,5392
8836,3568,13961,11187
9873,15217,12456,7861
12858,15861,11640,13447
3979,15505,6672,3281
15756,12061,11443,4015
16582,7439,14539,3713
1712,8057,7680,3577
1339,12122,10309,15949
1886,15618,4150,7522
7925,6260,309,17375
12994,3178,7167,5314
615,6312,10429,375
10229,7020,3191,8622
5795,11125,11777,2941
3668,12912,10506,13083
6394,6463,958,16240
10661,291,6203,9630
4374,16367,6714,15815
4984,14756,12890,2270
4390,2464,12958,11697
13692,251,4107,985
15212,4766,7027,5611
10731,11851,14923,10151
5491,2649,12225,9251
806,12347,12478,6711
14021,16829,9324,4649
7791,6812,12230,16526
6689,235,8343,9461
17021,12294,3776,7538
1698,12864,14050,5586
15775,4027,1959,8371
6105,11071,5206,7430
8854,14589,5088,6067
4344,1573,10666,8267
17555,12338,3561,16659
8413,14689,7780,12841
12850,8100,5296,2217
273,17213,7994,7383
16590,4852,2439,12655
7088,4023,3644,8196
7479,16335,3511,2739
12477,3203,11718,17253
1028,5291,14323,143
13427,16204,8877,14585
14277,10527,3258,11004
5959,5100,10745,6934
5129,14151,14152,16777
6886,7617,1947,13419
3866,679,3321,1515
6448,612,3043,7127
5893,6622,11724,7334
10760,4288,16502,6517
4661,1862,7549,11036
14515,3931,10463,7765
273,8560,17213,12605
4057,5675,9354,2243
17491,2766,7433,7843
9279,4783,10804,4996
5065,10674,6137,3472
5932,7251,1742,8513
6397,2955,14426,212
6248,11709,8550,5194
13563,7031,625,6750
1999,6845,4069,12203
7146,11945,11827,7854
3154,15688,16490,17451
9516,7692,860,7706
14221,9063,305,7698
15771,5281,1061,16674
9068,158,11280,15986
10463,4071,7981,1757
854,3436,9799,6623
8277,8280,5561,1419
1931,10030,5372,7053
5171,2225,13605,2244
10287,12227,15260,3852
3689,14322,10031,5146
12516,14187,2094,8210
8679,10349,9714,12848
5701,10297,2055,13062
7054,8301,2191,2226
14048,8153,15830,2079
11344,13548,5453,9098
1945,6257,8842,17352
13262,4062,2378,5411
10493,15045,4640,14545
10863,6501,4199,13228
14089,10418,12591,3925
2978,17409,9781,16962
6527,1746,5063,6496
9925,11133,11799,8551
13444,8559,5942,4229
9600,5929,1971,8106
17346,488,4915,16046
13205,2435,10299,6190
7244,14986,541,5088
3884,6306,6067,15869
1904,10196,4845,11061
1181,5512,6422,14040
10193,4550,14854,15931
8128,13765,7654,2562
4342,12144,11259,7777
1190,16012,10637,7026
16071,3185,2407,8181
3006,8331,16010,16911
13208,4544,3734,11059
14602,9079,10734,1014
6543,4002,15396,9654
50,13376,14412,4753
7566,442,7242,3173
893,9357,12049,8527
9590,8127,6583,828
7130,2770,9381,11900
17470,16720,1424,7260
10518,2706,8849,4136
17444,5844,8886,6074
7923,5381,1967,11145
582,11919,10776,8856
9999,8593,3735,11914
13579,8151,2618,15239
10614,15330,11387,4739
4452,16268,16197,1983
10981,16425,2318,8599
4325,3662,456,7463
6419,10550,13948,3476
10505,6343,13285,11395
12532,4425,8528,4544
1466,9250,10483,6555
16484,229,8621,12686
10495,2764,2769,2136
345,4040,8424,533
2456,15024,12653,6418
3943,3862,17159,7546
3052,11696,8885,16235
5056,11863,15100,12065
12131,15408,8519,3937
11964,708,13596,9747
15179,9208,16882,5992
8739,14969,5744,98
6847,15334,1768,7971
13964,12029,6182,9890
10681,11174,4432,16766
1181,14040,6422,10524
8538,16750,5376,2178
3512,11131,9707,4499
6789,10094,15193,13681
877,7231,4327,929
15662,9607,1810,9735
988,14534,1934,10935
16425,3495,8784,4984
1944,17162,5217,11939
6668,10797,14389,15107
8975,2218,11057,11664
8915,7221,12233,7902
